         419821 function calls (408413 primitive calls) in 0.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      565    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
    66/35    0.000    0.000    0.078    0.002 <frozen importlib._bootstrap_external>:1182(exec_module)
      534    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      125    0.000    0.000    0.001    0.000 inspect.py:3007(replace)
    70/53    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      202    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      543    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
  177/171    0.000    0.000    0.008    0.000 typing.py:401(__getitem__)
      125    0.000    0.000    0.007    0.000 inspect.py:3245(signature)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       77    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        3    0.000    0.000    0.002    0.001 dataclasses.py:882(_process_class)
      509    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      422    0.000    0.000    0.000    0.000 inspect.py:191(isclass)
       16    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 config_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array.py:241(ArrowExtensionArray)
        1    0.000    0.000    0.001    0.001 getlimits.py:167(_register_known_types)
       74    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      356    0.000    0.000    0.000    0.000 inspect.py:277(isfunction)
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
        2    0.000    0.000    0.005    0.003 interval.py:1(<module>)
       56    0.000    0.000    0.005    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.082    0.082 frame.py:1(<module>)
       64    0.000    0.000    0.000    0.000 common.py:43(_unpack_zerodim_and_defer)
       93    0.000    0.000    0.004    0.000 typing.py:407(__getitem__)
        1    0.000    0.000    0.000    0.000 stata.py:827(StataMissingValue)
